Subject,Start Date,End Date,All Day Event
【学校】春季休業,04/01/2018,04/06/2018,TRUE
【寮】開寮,04/01/2018,04/02/2018,TRUE
【寮】新入寮生荷物搬入,04/01/2018,04/06/2018,TRUE
【学校】留学生・編入生オリエンテーション,04/04/2018,04/05/2018,TRUE
【寮】寮生集会,04/04/2018,04/05/2018,TRUE
【学校】本科ならびに専攻科入学式、本科新入生・専攻科２年生オリエンテーション,04/05/2018,04/06/2018,TRUE
【学校】保護者懇談会・専攻科説明会（保護者向け）,04/05/2018,04/06/2018,TRUE
【寮】入寮式、北辰寮後援会総会,04/05/2018,04/06/2018,TRUE
【寮】新入寮生と寮上級生との対面式,04/05/2018,04/06/2018,TRUE
【学校】専攻科教科書販売,04/05/2018,04/06/2018,TRUE
【学校】１年課題テスト,04/06/2018,04/07/2018,TRUE
【学校】始業式・オリエンテーション、専攻科新入生オリエンテーション,04/06/2018,04/07/2018,TRUE
【学校】授業開始,04/09/2018,04/10/2018,TRUE
【学校】選択科目の説明会（２～５年）,04/10/2018,04/11/2018,TRUE
【学校】科学技術作文講演会（Ｍ－４、Ｓ－４）,04/10/2018,04/11/2018,TRUE
【寮】寮生総会、寮生会役員認証式,04/12/2018,04/13/2018,TRUE
【学校】専攻科履修願・再履修願提出締切,04/12/2018,04/13/2018,TRUE
【学校】総合理工入学ガイダンス（１年）,04/13/2018,04/14/2018,TRUE
【学校】新入生歓迎会,04/17/2018,04/18/2018,TRUE
【学校】学外実習説明会、ＪＡＢＥＥ説明会,04/18/2018,04/19/2018,TRUE
【学校】校外教育・工場見学申込締切（１～２年）,04/19/2018,04/20/2018,TRUE
【学校】開校記念日（通常授業）,04/20/2018,04/21/2018,TRUE
【学校】選択科目履修願提出締切,04/20/2018,04/21/2018,TRUE
【学校】４・５年単位認定試験受験願提出締切,04/20/2018,04/21/2018,TRUE
【学校】リーダー研修会,04/21/2018,04/22/2018,TRUE
【寮】新入寮生防火避難訓練,04/24/2018,04/25/2018,TRUE
【学校】専攻科入試説明会,04/24/2018,04/25/2018,TRUE
【学校】一斉懇談日,04/24/2018,04/25/2018,TRUE
【学校】専攻科特別研究中間報告会,04/26/2018,04/28/2018,TRUE
【学校】金曜日授業,05/01/2018,05/02/2018,TRUE
【学校】専攻科推薦入試願書受付,05/07/2018,05/12/2018,TRUE
【学校】学生総会,05/08/2018,05/09/2018,TRUE
【学校】専攻科校外実習・長期インターシップ説明会,05/08/2018,05/09/2018,TRUE
【学校】高校美作総体,05/12/2018,05/14/2018,TRUE
【学校】授業公開週間,05/14/2018,05/19/2018,TRUE
【学校】校内清掃,05/15/2018,05/16/2018,TRUE
【学校】春季スポーツ大会（雨天の場合は２３日に順延）,05/16/2018,05/17/2018,TRUE
【学校】授業参観日,05/18/2018,05/19/2018,TRUE
【学校】海外研修帰国報告会,05/18/2018,05/19/2018,TRUE
【寮】北辰寮後援会・寮生会・寮務委員会懇談会,05/19/2018,05/20/2018,TRUE
【寮】寮祭（暁祭）,05/19/2018,05/20/2018,TRUE
【学校】専攻科推薦入試,05/21/2018,05/22/2018,TRUE
【学校】一斉懇談日,05/22/2018,05/23/2018,TRUE
【学校】専攻科推薦入試合格者発表,05/24/2018,05/25/2018,TRUE
【学校】補講日（予備日）,05/26/2018,05/27/2018,TRUE
【学校】３年合宿研修・４年工場見学申込締切,05/31/2018,06/01/2018,TRUE
【学校】専攻科特別研究テーマ発表会,05/31/2018,06/02/2018,TRUE
【学校】補講日,06/05/2018,06/06/2018,TRUE
【学校】前期中間試験,06/06/2018,06/13/2018,TRUE
【学校】２～５年第１回単位認定試験時間割発表,06/08/2018,06/09/2018,TRUE
【学校】専攻科前期学力入試願書受付,06/11/2018,06/15/2018,TRUE
【学校】海外研修キックオフ,06/12/2018,06/13/2018,TRUE
【学校】１年校外教育・２年工場見学（１３日・２０日・２７日のいずれか）,06/13/2018,06/14/2018,TRUE
【寮】北辰寮防火避難訓練,06/14/2018,06/15/2018,TRUE
【学校】２～５年第１回単位認定試験,06/16/2018,06/17/2018,TRUE
【学校】一斉懇談日,06/19/2018,06/20/2018,TRUE
【学校】１年校外教育・２年工場見学（１３日・２０日・２７日のいずれか）,06/20/2018,06/21/2018,TRUE
【学校】専攻科前期学力入試,06/21/2018,06/22/2018,TRUE
【学校】中国地区高専体育大会参加説明会,06/22/2018,06/23/2018,TRUE
【学校】２～５年第１回単位認定試験,06/23/2018,06/24/2018,TRUE
【学校】中国地区高専体育大会壮行会,06/26/2018,06/27/2018,TRUE
【学校】１年校外教育・２年工場見学（１３日・２０日・２７日のいずれか）,06/27/2018,06/28/2018,TRUE
【学校】専攻科前期学力入試合格発表,06/27/2018,06/28/2018,TRUE
【学校】２～５年第１回単位認定試験,06/30/2018,07/01/2018,TRUE
【学校】専攻科学位申請説明会,07/02/2018,07/03/2018,TRUE
【学校】中国地区高専体育大会（夏季大会）,07/06/2018,07/09/2018,TRUE
【学校】休講,07/06/2018,07/07/2018,TRUE
【学校】後期授業料免除申請書配布,07/09/2018,08/04/2018,TRUE
【寮】寮生バスケットボール大会,07/10/2018,07/13/2018,TRUE
【学校】校内清掃,07/10/2018,07/11/2018,TRUE
【学校】補講日（予備日）,07/21/2018,07/22/2018,TRUE
【学校】資格関連科目指導日,07/24/2018,07/25/2018,TRUE
【学校】補講日,07/26/2018,07/27/2018,TRUE
【学校】前期末試験,07/27/2018,08/03/2018,TRUE
【学校】全国高専大会壮行会,07/31/2018,08/01/2018,TRUE
【寮】寮一斉清掃,08/02/2018,08/03/2018,TRUE
【学校】公開講座「夏休み科学教室」,08/04/2018,08/06/2018,TRUE
【学校】夏季休業,08/10/2018,09/21/2018,TRUE
【寮】閉寮（１５：００）、閉寮点検,08/10/2018,08/11/2018,TRUE
【学校】４年次編入願書受付,08/20/2018,08/25/2018,TRUE
【寮】臨時開寮開始（１０：００）,08/22/2018,08/23/2018,TRUE
【学校】オープンキャンパス２０１８,08/24/2018,08/26/2018,TRUE
【寮】オープンキャンパス寮見学,08/24/2018,08/26/2018,TRUE
【寮】臨時開寮終了（１０：００）,08/26/2018,08/27/2018,TRUE
【学校】４年次編入学試験,09/03/2018,09/04/2018,TRUE
【学校】４年次編入学試験合格発表,09/07/2018,09/08/2018,TRUE
【寮】開寮（１０：００）,09/09/2018,09/10/2018,TRUE
【学校】特別補習期間,09/10/2018,09/15/2018,TRUE
【学校】前期終了,09/20/2018,09/21/2018,TRUE
【学校】休講（開講記念日の振り替え）,09/21/2018,09/22/2018,TRUE
【寮】寮生部屋替え,09/24/2018,09/25/2018,TRUE
【学校】全校集会・ＨＲ（１・２限）,09/25/2018,09/26/2018,TRUE
【学校】後期授業開始,09/25/2018,09/26/2018,TRUE
【学校】科学技術作文講演会（Ｅ－４、Ｃ－４）,09/25/2018,09/26/2018,TRUE
【寮】寮生集会・寮生役員認証式,09/25/2018,09/26/2018,TRUE
【学校】一斉懇談日,09/25/2018,09/26/2018,TRUE
