Subject,Start Date,End Date,All Day Event
【学校】春季休業,04/01/2016,04/04/2016,TRUE
【寮】開寮,04/01/2016,04/02/2016,TRUE
【学校】留学生・編入生オリエンテーション,04/01/2016,04/02/2016,TRUE
【学校】授業料免除申請書配布,04/01/2016,04/08/2016,TRUE
【学校】日本学生支援機構奨学金書類配布・申請受付,04/01/2016,04/21/2016,TRUE
【寮】新入寮生荷物搬入,04/02/2016,04/04/2016,TRUE
【学校】本科ならびに専攻科入学式、本科新入生・専攻科２年生オリエンテーション,04/03/2016,04/04/2016,TRUE
【寮】入寮式、北辰寮後援会総会,04/03/2016,04/04/2016,TRUE
【学校】保護者懇談会・専攻科説明会（保護者向け）,04/03/2016,04/04/2016,TRUE
【寮】寮生集会,04/03/2016,04/04/2016,TRUE
【学校】始業式・オリエンテーション、専攻科新入生オリエンテーション,04/04/2016,04/05/2016,TRUE
【学校】１年課題テスト、新入生歓迎会,04/04/2016,04/05/2016,TRUE
【学校】専攻科教科書販売,04/04/2016,04/05/2016,TRUE
【学校】２〜５年教科書販売,04/04/2016,04/05/2016,TRUE
【学校】授業開始,04/05/2016,04/06/2016,TRUE
【学校】新入生歓迎会,04/05/2016,04/06/2016,TRUE
【学校】４〜５年選択科目教科書販売,04/05/2016,04/06/2016,TRUE
【学校】科学技術作文講演会（Ｍ−４、Ｃ−４）,04/05/2016,04/06/2016,TRUE
【学校】資格関連科目の説明会,04/12/2016,04/13/2016,TRUE
【学校】専攻科履修願・再履修願提出締切,04/12/2016,04/13/2016,TRUE
【寮】新入寮生防火避難訓練,04/13/2016,04/14/2016,TRUE
【寮】寮生総会、寮生会役員認証式,04/14/2016,04/15/2016,TRUE
【学校】学外実習説明会、ＪＡＢＥＥ説明会,04/19/2016,04/20/2016,TRUE
【学校】開校記念日（通常授業）,04/20/2016,04/21/2016,TRUE
【学校】校外教育・工場見学申込締切,04/20/2016,04/21/2016,TRUE
【学校】選択科目履修願提出締切,04/22/2016,04/23/2016,TRUE
【学校】４・５年単位認定試験受験願提出締切,04/22/2016,04/23/2016,TRUE
【学校】リーダー研修会,04/23/2016,04/24/2016,TRUE
【学校】専攻科入試説明会,04/26/2016,04/27/2016,TRUE
【学校】一斉懇談日,04/26/2016,04/27/2016,TRUE
【学校】中四国高専専攻科生研究交流会,04/28/2016,04/30/2016,TRUE
【学校】水曜日授業,05/02/2016,05/03/2016,TRUE
【学校】高校美作総体,05/07/2016,05/09/2016,TRUE
【学校】専攻科推薦入試願書受付,05/09/2016,05/14/2016,TRUE
【学校】学生総会,05/10/2016,05/11/2016,TRUE
【学校】専攻科校外実習・長期インターシップ説明会,05/10/2016,05/11/2016,TRUE
【寮】北辰寮後援会・寮生会・寮務委員会懇談会,05/14/2016,05/15/2016,TRUE
【寮】寮祭（暁祭）,05/14/2016,05/15/2016,TRUE
【学校】授業公開週間,05/16/2016,05/21/2016,TRUE
【学校】春季スポーツ大会（雨天の場合は２５日に順延）,05/18/2016,05/19/2016,TRUE
【学校】授業参観日,05/20/2016,05/21/2016,TRUE
【学校】専攻科推薦入試,05/23/2016,05/24/2016,TRUE
【学校】一斉懇談日,05/24/2016,05/25/2016,TRUE
【学校】専攻科推薦入試合格者発表,05/26/2016,05/27/2016,TRUE
【学校】補講日（予備日）,05/28/2016,05/29/2016,TRUE
【学校】前期授業料免除申請受付開始,05/30/2016,06/25/2016,TRUE
【学校】県総体,06/04/2016,06/06/2016,TRUE
【学校】補講日,06/07/2016,06/08/2016,TRUE
【学校】前期中間試験,06/08/2016,06/15/2016,TRUE
【学校】２〜５年第１回単位認定試験時間割発表,06/10/2016,06/11/2016,TRUE
【学校】専攻科前期学力入試願書受付,06/13/2016,06/18/2016,TRUE
